index,timestampString,Addr1,Addr2,Addr3,Price,Beds,Baths,SqFt,url,Page,,,,,,,,,,,,,,
24,"Wed, 17 Aug 2022 23:41:30 GMT","1706 Kendale Drive, Glenview, IL",1706 Kendale Drive,"1706 Kendale Drive, IL",1695000,5.00,4.5,5800,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
25,"Wed, 17 Aug 2022 23:41:30 GMT","2650 N Racine Avenue, Unit 3, Chica...",2650 N Racine Avenue,"2650 N Racine Avenue, IL",875000,2.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
26,"Wed, 17 Aug 2022 23:41:30 GMT","2650 N Racine Avenue, Unit 1, Chica...",2650 N Racine Avenue,"2650 N Racine Avenue, IL",1275000,4.00,2.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
27,"Wed, 17 Aug 2022 23:41:30 GMT","2650 N Racine Avenue, Unit 2, Chica...",2650 N Racine Avenue,"2650 N Racine Avenue, IL",735000,2.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
28,"Wed, 17 Aug 2022 23:41:30 GMT","1410 W Huron Street, Unit 2, Chicag...",1410 W Huron Street,"1410 W Huron Street, IL",620000,3.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
29,"Wed, 17 Aug 2022 23:41:30 GMT","1064 N Paulina Street, Unit 1, Chic...",1064 N Paulina Street,"1064 N Paulina Street, IL",859000,3.00,2.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
30,"Wed, 17 Aug 2022 23:41:30 GMT","1608 S Loomis Street, Unit 2, Chica...",1608 S Loomis Street,"1608 S Loomis Street, IL",525000,3.00,2.5,2200,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
31,"Wed, 17 Aug 2022 23:41:30 GMT","2602 Harrison Street, Glenview, IL",2602 Harrison Street,"2602 Harrison Street, IL",450000,4.00,2.5,1234,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
32,"Wed, 17 Aug 2022 23:41:30 GMT","2622 N Dayton Street, Chicago, IL",2622 N Dayton Street,"2622 N Dayton Street, IL",3100000,6.00,6.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
35,"Wed, 17 Aug 2022 23:41:30 GMT","2131 W Evergreen Avenue, Unit 1, Ch...",2131 W Evergreen Avenue,"2131 W Evergreen Avenue, IL",650000,3.00,3,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
36,"Wed, 17 Aug 2022 23:41:30 GMT","5609 N Glenwood Avenue, Unit 1, Chi...",5609 N Glenwood Avenue,"5609 N Glenwood Avenue, IL",229900,2.00,1,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
37,"Wed, 17 Aug 2022 23:41:30 GMT","7747 S Luella Avenue, Chicago, IL",7747 S Luella Avenue,"7747 S Luella Avenue, IL",314000,5.00,2.5,2500,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
38,"Wed, 17 Aug 2022 23:41:30 GMT","800 N Michigan Avenue, Unit 2501, C...",800 N Michigan Avenue,"800 N Michigan Avenue, IL",3850000,3.00,2.5,3200,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
39,"Wed, 17 Aug 2022 23:41:30 GMT","1735 W Diversey Parkway, Unit 507, ...",1735 W Diversey Parkway,"1735 W Diversey Parkway, IL",424900,2.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
40,"Wed, 17 Aug 2022 23:41:30 GMT","1831 N Larrabee Street, Unit 1, Chi...",1831 N Larrabee Street,"1831 N Larrabee Street, IL",1699000,4.00,2.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
41,"Wed, 17 Aug 2022 23:41:30 GMT","2320 Emerson Street, Evanston, IL",2320 Emerson Street,"2320 Emerson Street, IL",450000,3.00,2,1350,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
42,"Wed, 17 Aug 2022 23:41:30 GMT","1831 N Larrabee Street, Unit PH, Ch...",1831 N Larrabee Street,"1831 N Larrabee Street, IL",1450000,3.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
43,"Wed, 17 Aug 2022 23:41:30 GMT","1066 N Paulina Street, Unit 1, Chic...",1066 N Paulina Street,"1066 N Paulina Street, IL",979000,3.00,2.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
44,"Wed, 17 Aug 2022 23:41:30 GMT","1066 N Paulina Street, Unit 2, Chic...",1066 N Paulina Street,"1066 N Paulina Street, IL",599000,2.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
45,"Wed, 17 Aug 2022 23:41:30 GMT","2734 W Crystal Street, Chicago, IL",2734 W Crystal Street,"2734 W Crystal Street, IL",1100000,5.00,3.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
46,"Wed, 17 Aug 2022 23:41:30 GMT","844 N California Avenue, Unit 2, Ch...",844 N California Avenue,"844 N California Avenue, IL",575000,3.00,2.5,1800,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
47,"Wed, 17 Aug 2022 23:41:30 GMT","5844 N Magnolia Avenue, Chicago, IL",5844 N Magnolia Avenue,"5844 N Magnolia Avenue, IL",975000,1.00,7,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
48,"Wed, 17 Aug 2022 23:41:30 GMT","30 E Huron Street, Unit 904, Chicag...",30 E Huron Street,"30 E Huron Street, IL",369999,2.00,1,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
49,"Wed, 17 Aug 2022 23:41:30 GMT","3723 N Magnolia Avenue, Chicago, IL",3723 N Magnolia Avenue,"3723 N Magnolia Avenue, IL",3075000,6.00,6,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
50,"Wed, 17 Aug 2022 23:41:30 GMT","801 Elmdale Road, Glenview, IL",801 Elmdale Road,"801 Elmdale Road, IL",949900,4.00,3.5,3528,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
51,"Wed, 17 Aug 2022 23:41:30 GMT","4253 N Winchester Avenue, Chicago, ...",4253 N Winchester Avenue,"4253 N Winchester Avenue, IL",2375000,6.00,5,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
52,"Wed, 17 Aug 2022 23:41:30 GMT","3540 S Maplewood Avenue, Chicago, I...",3540 S Maplewood Avenue,"3540 S Maplewood Avenue, IL",294000,6.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
53,"Wed, 17 Aug 2022 23:41:30 GMT","3538 S Maplewood Avenue, Chicago, I...",3538 S Maplewood Avenue,"3538 S Maplewood Avenue, IL",99000,-,-,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
54,"Wed, 17 Aug 2022 23:41:30 GMT","7530 S East End Avenue, Chicago, IL",7530 S East End Avenue,"7530 S East End Avenue, IL",350000,3.00,2,1950,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
55,"Wed, 17 Aug 2022 23:41:30 GMT","4224 N Kimball Avenue, Chicago, IL",4224 N Kimball Avenue,"4224 N Kimball Avenue, IL",450000,5.00,3,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
56,"Wed, 17 Aug 2022 23:41:30 GMT","4857 N Lawndale Avenue, Unit 203, C...",4857 N Lawndale Avenue,"4857 N Lawndale Avenue, IL",155000,2.00,1,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
57,"Wed, 17 Aug 2022 23:41:30 GMT","2343 N Greenview Avenue, Unit 111, ...",2343 N Greenview Avenue,"2343 N Greenview Avenue, IL",229900,1.00,1,600,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
58,"Wed, 17 Aug 2022 23:41:30 GMT","2816 W Cermak Road, Chicago, IL",2816 W Cermak Road,"2816 W Cermak Road, IL",1290000,-,-,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
59,"Wed, 17 Aug 2022 23:41:30 GMT","646 W Webster Avenue, Unit 2, Chica...",646 W Webster Avenue,"646 W Webster Avenue, IL",899000,2.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
60,"Wed, 17 Aug 2022 23:41:30 GMT","2000 W Haddon Avenue, Unit 210, Chi...",2000 W Haddon Avenue,"2000 W Haddon Avenue, IL",560000,2.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,2,,,,,,,,,,,,,,
61,"Wed, 17 Aug 2022 23:41:30 GMT","5119 N Kenmore Avenue, Unit 2E, Chi...",5119 N Kenmore Avenue,"5119 N Kenmore Avenue, IL",250000,2.00,1,-,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
62,"Wed, 17 Aug 2022 23:41:30 GMT","5632 S Christiana Avenue, Chicago, ...",5632 S Christiana Avenue,"5632 S Christiana Avenue, IL",295000,3.00,2.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
63,"Wed, 17 Aug 2022 23:41:30 GMT","1221 E 46Th Street, Unit 3, Chicago...",1221 E 46Th Street,"1221 E 46Th Street, IL",399900,3.00,2,1500,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
64,"Wed, 17 Aug 2022 23:41:30 GMT","1540 N Lasalle Drive, Unit 302, Chi...",1540 N Lasalle Drive,"1540 N Lasalle Drive, IL",174999,-,1,550,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
65,"Wed, 17 Aug 2022 23:41:30 GMT","1340 N Dearborn Street, Unit 9E, Ch...",1340 N Dearborn Street,"1340 N Dearborn Street, IL",219900,1.00,1,800,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
66,"Wed, 17 Aug 2022 23:41:30 GMT","1800 Ridge Avenue, Unit 105, Evanst...",1800 Ridge Avenue,"1800 Ridge Avenue, IL",580000,2.00,2,1400,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
67,"Wed, 17 Aug 2022 23:41:30 GMT","222 E Pearson Street, Unit 301, Chi...",222 E Pearson Street,"222 E Pearson Street, IL",465000,3.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
68,"Wed, 17 Aug 2022 23:41:30 GMT","4940 S East End Avenue, Unit 8C, Ch...",4940 S East End Avenue,"4940 S East End Avenue, IL",225000,2.00,1,965,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
69,"Wed, 17 Aug 2022 23:41:30 GMT","1443 N California Avenue, Unit 1, C...",1443 N California Avenue,"1443 N California Avenue, IL",715000,3.00,2.5,2700,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
70,"Wed, 17 Aug 2022 23:41:30 GMT","1437 N California Avenue, Unit 1, C...",1437 N California Avenue,"1437 N California Avenue, IL",725000,3.00,2.5,2700,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
71,"Wed, 17 Aug 2022 23:41:30 GMT","61 W 15Th Street, Unit 207, Chicago...",61 W 15Th Street,"61 W 15Th Street, IL",390000,2.00,2,1200,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
72,"Wed, 17 Aug 2022 23:41:30 GMT","1438 Whitman Court, Schaumburg, IL",1438 Whitman Court,"1438 Whitman Court, IL",375000,2.00,2.5,1404,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
73,"Wed, 17 Aug 2022 23:41:30 GMT","4905 S Washington Park Court, Chica...",4905 S Washington Park Court,"4905 S Washington Park Court, IL",475000,4.00,2.5,3540,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
74,"Wed, 17 Aug 2022 23:41:30 GMT","1671 N Claremont Avenue, Unit 2W, C...",1671 N Claremont Avenue,"1671 N Claremont Avenue, IL",410000,2.00,2,1350,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
75,"Wed, 17 Aug 2022 23:41:30 GMT","2202 W Granville Avenue, Unit 1, Ch...",2202 W Granville Avenue,"2202 W Granville Avenue, IL",189000,2.00,1,1100,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
76,"Wed, 17 Aug 2022 23:41:30 GMT","1330 N Western Avenue, Unit C, Chic...",1330 N Western Avenue,"1330 N Western Avenue, IL",450000,-,-,-,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
77,"Wed, 17 Aug 2022 23:41:30 GMT","5975 N Odell Avenue, Unit 5F, Chica...",5975 N Odell Avenue,"5975 N Odell Avenue, IL",94900,-,1,420,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
78,"Wed, 17 Aug 2022 23:41:30 GMT","1451 E 55Th Street, Unit 529N, Chic...",1451 E 55Th Street,"1451 E 55Th Street, IL",199999,3.00,2,1250,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
79,"Wed, 17 Aug 2022 23:41:30 GMT","4131 Prairie Avenue, Brookfield, IL",4131 Prairie Avenue,"4131 Prairie Avenue, IL",599000,5.00,4,3355,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
80,"Wed, 17 Aug 2022 23:41:30 GMT","2052 N Campbell Avenue, Unit GE, Ch...",2052 N Campbell Avenue,"2052 N Campbell Avenue, IL",269900,2.00,2,900,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
81,"Wed, 17 Aug 2022 23:41:30 GMT","2621 W Carmen Avenue, Chicago, IL",2621 W Carmen Avenue,"2621 W Carmen Avenue, IL",1375000,5.00,3.5,3500,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
82,"Wed, 17 Aug 2022 23:41:30 GMT","1400 W Monroe Street, Unit 4F, Chic...",1400 W Monroe Street,"1400 W Monroe Street, IL",1199000,3.00,2.5,1669,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
83,"Wed, 17 Aug 2022 23:41:30 GMT","1657 W Turtle Creek Lane, Round Lak...",1657 W Turtle Creek Lane,"1657 W Turtle Creek Lane, IL",189800,2.00,2.5,1542,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
84,"Wed, 17 Aug 2022 23:41:30 GMT","873 N Larrabee Street, Unit 301, Ch...",873 N Larrabee Street,"873 N Larrabee Street, IL",360000,2.00,2,1187,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
85,"Wed, 17 Aug 2022 23:41:30 GMT","1305 W Barry Avenue, Chicago, IL",1305 W Barry Avenue,"1305 W Barry Avenue, IL",1699000,2.00,7,-,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
86,"Wed, 17 Aug 2022 23:41:30 GMT","700 W Bittersweet Place, Unit 709, ...",700 W Bittersweet Place,"700 W Bittersweet Place, IL",139900,1.00,1,800,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
87,"Wed, 17 Aug 2022 23:41:30 GMT","1910 S Indiana Avenue, Unit 521, Ch...",1910 S Indiana Avenue,"1910 S Indiana Avenue, IL",340000,2.00,2,1284,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
88,"Wed, 17 Aug 2022 23:41:30 GMT","655 W Irving Park Road, Unit 3302, ...",655 W Irving Park Road,"655 W Irving Park Road, IL",325000,2.00,2,1200,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
89,"Wed, 17 Aug 2022 23:41:30 GMT","4350 W Wilcox Street, Chicago, IL",4350 W Wilcox Street,"4350 W Wilcox Street, IL",374900,7.00,3,-,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
90,"Wed, 17 Aug 2022 23:41:30 GMT","3631 N Mozart Street, Chicago, IL",3631 N Mozart Street,"3631 N Mozart Street, IL",559950,4.00,2,2000,https://www.fultongrace.com/houses-for-sale/illinois/,3,,,,,,,,,,,,,,
91,"Wed, 17 Aug 2022 23:41:30 GMT","1251 W Granville Avenue, Unit G, Ch...",1251 W Granville Avenue,"1251 W Granville Avenue, IL",299900,3.00,2.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
92,"Wed, 17 Aug 2022 23:41:30 GMT","2000 W Haddon Avenue, Unit 210, Chi...",2000 W Haddon Avenue,"2000 W Haddon Avenue, IL",560000,2.00,2,1244,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
93,"Wed, 17 Aug 2022 23:41:30 GMT","725 W Sheridan Road, Unit 206, Chic...",725 W Sheridan Road,"725 W Sheridan Road, IL",269900,2.00,2,1000,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
94,"Wed, 17 Aug 2022 23:41:30 GMT","5858 W Dakin Street, Chicago, IL",5858 W Dakin Street,"5858 W Dakin Street, IL",445000,4.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
95,"Wed, 17 Aug 2022 23:41:30 GMT","4150 W Cullom Avenue, Chicago, IL",4150 W Cullom Avenue,"4150 W Cullom Avenue, IL",795000,3.00,3.5,2800,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
96,"Wed, 17 Aug 2022 23:41:30 GMT","2420 W Cortez Street, Unit 3, Chica...",2420 W Cortez Street,"2420 W Cortez Street, IL",449900,2.00,2,1300,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
97,"Wed, 17 Aug 2022 23:41:30 GMT","2407 W 32Nd Place, Chicago, IL",2407 W 32Nd Place,"2407 W 32Nd Place, IL",359000,3.00,3,1600,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
98,"Wed, 17 Aug 2022 23:41:30 GMT","3244 N Kilbourn Avenue, Unit 3, Chi...",3244 N Kilbourn Avenue,"3244 N Kilbourn Avenue, IL",350000,2.00,2,1401,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
99,"Wed, 17 Aug 2022 23:41:30 GMT","1831 N Larrabee Street, Unit 2, Chi...",1831 N Larrabee Street,"1831 N Larrabee Street, IL",1250000,3.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
100,"Wed, 17 Aug 2022 23:41:30 GMT","1720 S Michigan Avenue, Unit 1617, ...",1720 S Michigan Avenue,"1720 S Michigan Avenue, IL",210000,1.00,1,705,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
101,"Wed, 17 Aug 2022 23:41:30 GMT","881 W Cornelia Avenue, Unit 1, Chic...",881 W Cornelia Avenue,"881 W Cornelia Avenue, IL",425000,4.00,2,1900,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
102,"Wed, 17 Aug 2022 23:41:30 GMT","6628 S Maryland Avenue, Chicago, IL",6628 S Maryland Avenue,"6628 S Maryland Avenue, IL",450000,7.00,3,-,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
103,"Wed, 17 Aug 2022 23:41:30 GMT","6219 N Navajo Avenue, Chicago, IL",6219 N Navajo Avenue,"6219 N Navajo Avenue, IL",387000,3.00,2.5,1350,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
104,"Wed, 17 Aug 2022 23:41:30 GMT","4351 S Vincennes Avenue, Unit 2, Ch...",4351 S Vincennes Avenue,"4351 S Vincennes Avenue, IL",419900,3.00,2,1800,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
105,"Wed, 17 Aug 2022 23:41:30 GMT","5728 N Merrimac Avenue, Chicago, IL",5728 N Merrimac Avenue,"5728 N Merrimac Avenue, IL",309000,2.00,1,920,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
106,"Wed, 17 Aug 2022 23:41:30 GMT","2626 N Lakeview Avenue, Unit 2009, ...",2626 N Lakeview Avenue,"2626 N Lakeview Avenue, IL",209000,1.00,1,-,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
107,"Wed, 17 Aug 2022 23:41:30 GMT","111 S Morgan Street, Unit 703, Chic...",111 S Morgan Street,"111 S Morgan Street, IL",305000,1.00,1,700,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
108,"Wed, 17 Aug 2022 23:41:30 GMT","6402 S Ellis Avenue, Chicago, IL",6402 S Ellis Avenue,"6402 S Ellis Avenue, IL",629900,3.00,2.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
109,"Wed, 17 Aug 2022 23:41:30 GMT","4723 N Winthrop Avenue, Unit 1W, Ch...",4723 N Winthrop Avenue,"4723 N Winthrop Avenue, IL",679000,3.00,2.5,1820,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
110,"Wed, 17 Aug 2022 23:41:30 GMT","4723 N Winthrop Avenue, Unit 1E, Ch...",4723 N Winthrop Avenue,"4723 N Winthrop Avenue, IL",689000,3.00,2.5,1820,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
111,"Wed, 17 Aug 2022 23:41:30 GMT","4723 N Winthrop Avenue, Unit 2, Chi...",4723 N Winthrop Avenue,"4723 N Winthrop Avenue, IL",549900,3.00,2,1460,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
112,"Wed, 17 Aug 2022 23:41:30 GMT","4723 N Winthrop Avenue, Unit 3, Chi...",4723 N Winthrop Avenue,"4723 N Winthrop Avenue, IL",649900,3.00,2,1620,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
113,"Wed, 17 Aug 2022 23:41:30 GMT","1147 W Ohio Street, Unit 201, Chica...",1147 W Ohio Street,"1147 W Ohio Street, IL",674900,2.00,2,2473,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
114,"Wed, 17 Aug 2022 23:41:30 GMT","1709 W Foster Avenue, Unit 1W, Chic...",1709 W Foster Avenue,"1709 W Foster Avenue, IL",699000,3.00,3,2900,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
115,"Wed, 17 Aug 2022 23:41:30 GMT","1464 W Ohio Street, Chicago, IL",1464 W Ohio Street,"1464 W Ohio Street, IL",1089500,8.00,6,-,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
116,"Wed, 17 Aug 2022 23:41:30 GMT","3804 Winston Lane, Hoffman Estates,...",3804 Winston Lane,"3804 Winston Lane, IL",375999,4.00,2.5,1600,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
117,"Wed, 17 Aug 2022 23:41:30 GMT","5632 S Christiana Avenue, Chicago, ...",5632 S Christiana Avenue,"5632 S Christiana Avenue, IL",295000,5.00,2.5,2611,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
118,"Wed, 17 Aug 2022 23:41:30 GMT","440 N Wabash Avenue, Unit P-371, Ch...",440 N Wabash Avenue,"440 N Wabash Avenue, IL",30000,-,-,-,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
119,"Wed, 17 Aug 2022 23:41:30 GMT","235 W Van Buren Street, Unit 4107, ...",235 W Van Buren Street,"235 W Van Buren Street, IL",425000,2.00,2,1110,https://www.fultongrace.com/houses-for-sale/illinois/,4,,,,,,,,,,,,,,
